method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max
Radau,10,,0.001,True,517,4218,18,0,0.20382308959960938,,0.0006244396995317404,0.020589989966877092,0.005110773129739732,1.048419162864428,1.0483853644745647,3.2237478158010924e-05,3.402463850623033e-05
Radau,10,,0.0001,True,898,7056,29,0,0.33235859870910645,,0.00019645203254711895,0.0060533444926970745,0.0002860018902887145,1.048419162864428,1.0484173309970926,1.7472661701193644e-06,1.7775481858556156e-06
Radau,10,,1e-05,True,1555,11979,27,0,0.5546283721923828,,6.584489590220031e-05,0.0019333033085222936,1.8101563020933916e-05,1.048419162864428,1.0484189963129253,1.588596512624233e-07,1.6028943099747647e-07
Radau,10,,1e-06,True,2742,20801,16,0,0.9491102695465088,,2.1137565889380122e-05,0.0006227282813822261,1.03693086397777e-06,1.048419162864428,1.0484191524264144,9.955954578393321e-09,1.003006219918656e-08
Euler_Explicit,100,0.1,,False,5,5,0,0,0.00024080276489257812,Instabilità numerica al passo 5,,,,,,,
Euler_Explicit,100,0.05,,False,7,7,0,0,0.00021791458129882812,Instabilità numerica al passo 7,,,,,,,
Euler_Explicit,100,0.02,,False,10,10,0,0,0.0002987384796142578,Instabilità numerica al passo 10,,,,,,,
Euler_Explicit,100,0.01,,False,25,25,0,0,0.0007026195526123047,Instabilità numerica al passo 25,,,,,,,
Euler_Explicit,100,0.005,,False,109,109,0,0,0.002982616424560547,Instabilità numerica al passo 109,,,,,,,
Euler_Explicit,100,0.002,,True,5000,5000,0,0,0.1353926658630371,,0.4701303203320454,256.4992961667968,261.652011843689,1.948419162864428,2327.8235694287905,1193.7242224853655,3937.5537378768317
Euler_Explicit,100,0.001,,True,10000,10000,0,0,0.2734801769256592,,1.0236672828667601,386.8398732445454,282.38088744295567,1.948419162864428,4447.935567271737,2281.8432670168863,4779.853472775548
Euler_Implicit,100,0.1,,False,0,451,50,50,0.013539552688598633,Newton non converge al passo 1,,,,,,,
Euler_Implicit,100,0.05,,True,200,2560,240,240,0.07541370391845703,,0.1394988026690672,4.944111849172326,6.5323469246725905,1.948419162864428,-0.327266340029732,1.1679650591963018,1.1679650591963018
Euler_Implicit,100,0.02,,True,500,7264,696,696,0.2186751365661621,,0.13607277170186824,4.922379119270974,6.532346931502719,1.948419162864428,-0.3272663400297319,1.1679650591963013,1.1679650591963013
Euler_Implicit,100,0.01,,True,1000,15815,1535,1535,0.48894596099853516,,0.1303140081462857,4.887771621531882,6.53232115990154,1.948419162864428,-0.32726633121521365,1.1679650546723683,1.1679650546723683
Euler_Implicit,100,0.005,,True,2000,34429,3381,3381,1.019092321395874,,0.11827214959092497,4.820779276071072,6.524697617907773,1.948419162864428,-0.3271409620670712,1.1679007106387373,1.1679007106387373
Euler_Implicit,100,0.002,,True,5000,79984,7776,7776,2.3626503944396973,,0.08694715180473879,4.668119381386196,6.387302372048835,1.948419162864428,-0.28528908224504246,1.1464207947049907,1.1464207947049907
