method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max,h_equivalent,comparison_type,radau_equivalent_rtol
Euler_Implicit,100,0.0009852216748768472,,True,10150,119723,11047,11047,3.222059488296509,,0.05773255441304966,4.54178011689606,6.184510230752183,1.948419162864428,-0.025468207099901663,1.0130712156733566,1.0130712156733566,,fair,1e-06
Trapezoid,100,0.0009852216748768472,,True,10150,202991,20299,20299,5.575343370437622,,0.004767937896505081,1.7994769007492306,0.1337207671783022,1.948419162864428,1.9484073143543068,6.081088888409769e-06,9.567612257004956e-06,,fair,1e-06
Radau,500,,0.001,True,3929,29568,10,0,1.2302589416503906,,0.0006648401105632648,0.5229880158372281,0.530480089888384,5.948419162864429,5.893025507900709,0.009312332141880476,0.009312332141880476,0.0025451768897938407,fair,
RK4,500,0.0025451768897938407,,True,3929,15716,0,0,0.4142930507659912,,0.004400948570035375,3.855268583040418,4.42031128659621,5.948419162864429,5.020532689865433,0.1559887505560682,0.1559887505560682,,fair,0.001
Euler_Explicit,500,0.0025451768897938407,,False,99,99,0,0,0.002585887908935547,Instabilità numerica al passo 99,,,,,,,,,fair,0.001
Euler_Implicit,500,0.0025451768897938407,,True,3929,51391,4837,4837,1.3757529258728027,,0.08872892570570344,11.315546958067426,10.033955019205465,5.948419162864429,-0.06559808176122413,1.0110278176377934,1.0110278176377934,,fair,0.001
Trapezoid,500,0.0025451768897938407,,True,3929,116344,12054,12054,3.171126127243042,,0.019426804319804883,15.192941755377955,2.483592182786874,5.948419162864429,5.946869885775991,0.0002604519026013242,0.00036702873049358374,,fair,0.001
Radau,500,,0.0001,True,7079,52477,2,0,2.171128273010254,,0.00013083995987678886,0.10171800795411969,0.03132382422270339,5.948419162864429,5.945452638885327,0.0004987079588508981,0.0004987079588508981,0.0014126289023873428,fair,
RK4,500,0.0014126289023873428,,True,7079,28316,0,0,0.7474331855773926,,0.0005406352901287739,0.4565163992726128,0.6387864611700889,5.948419162864429,5.86076611755976,0.014735519287524458,0.014735519287524458,,fair,0.0001
Euler_Explicit,500,0.0014126289023873428,,True,7079,7079,0,0,0.17757892608642578,,0.984871953513235,454.9614259660668,558.694278523201,5.948419162864429,8421.957307846249,1414.8311775377142,9699.764243994327,,fair,0.0001
