method,k,h,rtol,success,n_steps,nfev,njev,newton_iter,cpu_time,error_message,error_q1_rms,error_global_rms,error_final,energy_initial,energy_final,energy_drift_relative,energy_variation_max,h_equivalent,comparison_type,radau_equivalent_rtol
Radau,10,,0.001,True,517,4218,18,0,0.3117666244506836,,0.0006244396995317404,0.020589989966877092,0.005110773129739732,1.048419162864428,1.0483853644745647,3.2237478158010924e-05,3.402463850623033e-05,0.019342359767891684,fair,
RK4,10,0.019342359767891684,,True,517,2068,0,0,0.09340667724609375,,0.000887999905609609,0.08981172201042684,0.1902483208362064,1.048419162864428,1.047787221298997,0.000602756595658221,0.000602756595658221,,fair,0.001
Euler_Explicit,10,0.019342359767891684,,False,141,141,0,0,0.0061719417572021484,Instabilità numerica al passo 141,,,,,,,,,fair,0.001
Euler_Implicit,10,0.019342359767891684,,True,517,10340,1034,1034,0.4738490581512451,,0.3628360093702072,1.9853328223020361,2.2253690723792428,1.048419162864428,-2.7558045906729127,3.6285332129409658,3.6285332129409658,,fair,0.001
Trapezoid,10,0.019342359767891684,,True,517,10340,1034,1034,0.4752814769744873,,0.013943263392225631,0.6414283816304721,0.8794238046726116,1.048419162864428,1.0455060660233886,0.0027785612322082753,0.003100046714551562,,fair,0.001
Radau,10,,0.0001,True,898,7056,29,0,0.5206143856048584,,0.00019645203254711895,0.0060533444926970745,0.0002860018902887145,1.048419162864428,1.0484173309970926,1.7472661701193644e-06,1.7775481858556156e-06,0.011135857461024499,fair,
RK4,10,0.011135857461024499,,True,898,3592,0,0,0.15715479850769043,,0.00018966969658439528,0.012118386228806932,0.020015085612439712,1.048419162864428,1.048371029244751,4.591066377060379e-05,4.591066377060379e-05,,fair,0.0001
Euler_Explicit,10,0.011135857461024499,,False,705,705,0,0,0.03059101104736328,Instabilità numerica al passo 705,,,,,,,,,fair,0.0001
Euler_Implicit,10,0.011135857461024499,,True,898,17960,1796,1796,0.8090779781341553,,0.2926308238223537,1.6229126917674301,2.3343364368678006,1.048419162864428,-2.615733022207901,3.494930572483387,3.494930572483387,,fair,0.0001
Trapezoid,10,0.011135857461024499,,True,898,17960,1796,1796,0.880617618560791,,0.006672761461980513,0.6207973443551115,0.7596145983051779,1.048419162864428,1.047435975313824,0.0009377809805743022,0.0010314483239832076,,fair,0.0001
Radau,10,,1e-05,True,1555,11979,27,0,0.8768703937530518,,6.584489590220031e-05,0.0019333033085222936,1.8101563020933916e-05,1.048419162864428,1.0484189963129253,1.588596512624233e-07,1.6028943099747647e-07,0.006430868167202572,fair,
RK4,10,0.006430868167202572,,True,1555,6220,0,0,0.28323888778686523,,5.607653972836815e-05,0.0021907877026757605,0.002027014474544428,1.048419162864428,1.0484160310024617,2.9872231232911613e-06,2.9872231232911613e-06,,fair,1e-05
Euler_Explicit,10,0.006430868167202572,,True,1555,1555,0,0,0.07244753837585449,,0.6075897629800031,70.8353794938805,75.32604418046357,1.048419162864428,210.7867152923197,200.0519482650631,600.6185161567338,,fair,1e-05
Euler_Implicit,10,0.006430868167202572,,True,1555,31100,3110,3110,1.5326387882232666,,0.21829966961198363,1.2475112254617435,2.2952727475131427,1.048419162864428,-2.1646912355649253,3.064719257563631,3.064719257563631,,fair,1e-05
Trapezoid,10,0.006430868167202572,,True,1555,31100,3110,3110,1.4700512886047363,,0.0027609540012253986,0.25438731141000365,0.5751163417043619,1.048419162864428,1.048105453073756,0.00029922172522574286,0.0003468327520811299,,fair,1e-05
Radau,10,,1e-06,True,2742,20801,16,0,1.4225916862487793,,2.1137565889380122e-05,0.0006227282813822261,1.03693086397777e-06,1.048419162864428,1.0484191524264144,9.955954578393321e-09,1.003006219918656e-08,0.0036469730123997084,fair,
RK4,10,0.0036469730123997084,,True,2742,10968,0,0,0.4552652835845947,,1.768013111847343e-05,0.0005803158955543027,0.0001962529180264444,1.048419162864428,1.0484189813931954,1.7309034297852694e-07,1.731558752256797e-07,,fair,1e-06
Euler_Explicit,10,0.0036469730123997084,,True,2742,2742,0,0,0.1090548038482666,,0.8440534315265357,90.27811306448018,125.32823248392043,1.048419162864428,377.5921984392294,359.15385049582136,737.356338514711,,fair,1e-06
Euler_Implicit,10,0.0036469730123997084,,True,2742,54831,5483,5483,2.3643510341644287,,0.14908225253292334,0.9070310129051359,1.949678186157844,1.048419162864428,-1.4162538228220407,2.3508469446062366,2.3508469446062366,,fair,1e-06
Trapezoid,10,0.0036469730123997084,,True,2742,54714,5470,5470,2.3592467308044434,,0.0009180749570419574,0.08443259658201191,0.15836458874356016,1.048419162864428,1.048317238005506,9.721766115333785e-05,0.00011202122937375957,,fair,1e-06
Radau,100,,0.001,True,1731,13025,10,0,0.8741905689239502,,0.00044573265136834105,0.16660375679421735,0.09931283619121806,1.948419162864428,1.943394324852694,0.00257893070829122,0.0025789307082913337,0.005777007510109763,fair,
RK4,100,0.005777007510109763,,True,1731,6924,0,0,0.2851557731628418,,0.0032229095527216657,1.2309958192043775,1.3303199063346824,1.948419162864428,1.8410168212261375,0.055122811192431106,0.055122811192431106,,fair,0.001
Euler_Explicit,100,0.005777007510109763,,False,98,98,0,0,0.0042498111724853516,Instabilità numerica al passo 98,,,,,,,,,fair,0.001
Euler_Implicit,100,0.005777007510109763,,True,1731,29454,2888,2888,1.2434172630310059,,0.12154385065011725,4.83843629567712,6.528904417562078,1.948419162864428,-0.327238327378875,1.167950682079,1.167950682079,,fair,0.001
Trapezoid,100,0.005777007510109763,,True,1731,35889,3603,3603,1.5403435230255127,,0.017695399596608694,6.544040732882025,10.751904288482194,1.948419162864428,1.948129864794766,0.00014847835372176372,0.0003134276839752636,,fair,0.001
Radau,100,,0.0001,True,3093,22904,2,0,1.518888235092163,,0.0001197095484764612,0.04530946549903764,0.005372898241485973,1.948419162864428,1.9481491729319889,0.00013856871128401722,0.00013856871128413117,0.0032331070158422245,fair,
RK4,100,0.0032331070158422245,,True,3093,12372,0,0,0.5157260894775391,,0.00041347100186874734,0.1563880849574483,0.007330215900561022,1.948419162864428,1.9403482865169952,0.004142269025709864,0.004142269025709864,,fair,0.0001
Euler_Explicit,100,0.0032331070158422245,,True,3093,3093,0,0,0.1258833408355713,,1.0683437866471677,198.80734831695972,81.94748783271746,1.948419162864428,1024.2773420969904,524.6966065716426,5116.656575170833,,fair,0.0001
Euler_Implicit,100,0.0032331070158422245,,True,3093,52968,5198,5198,2.2273223400115967,,0.10546130290809974,4.755002092813854,6.487651155309666,1.948419162864428,-0.3234345076866717,1.1659984226449411,1.1659984226449411,,fair,0.0001
